basezoom_tiles,tiles_built,features_built,properties,time
2,1,1193,0,159
2,1,1193,5,136
2,1,1193,10,175
2,1,1193,15,194
2,1,1193,20,209
2,1,1193,25,297
4,2,2857,0,148
4,2,2857,5,241
4,2,2857,10,347
4,2,2857,15,398
4,2,2857,20,551
4,2,2857,25,609
8,4,6185,0,406
8,4,6185,5,503
8,4,6185,10,805
8,4,6185,15,950
8,4,6185,20,1037
8,4,6185,25,1425
16,9,12141,0,678
16,9,12141,5,1128
16,9,12141,10,1500
16,9,12141,15,1839
16,9,12141,20,2112
16,9,12141,25,2765
32,16,27547,0,1653
32,16,27547,5,2366
32,16,27547,10,3205
32,16,27547,15,3988
32,16,27547,20,4588
32,16,27547,25,5938
64,24,58359,0,3618
64,24,58359,5,4835
64,24,58359,10,6789
64,24,58359,15,8092
64,24,58359,20,9643
64,24,58359,25,13439
128,40,119983,0,10478
128,40,119983,5,12562
128,40,119983,10,16638
128,40,119983,15,20333
128,40,119983,20,23400
128,40,119983,25,30066
256,96,236114,0,23737
256,96,236114,5,28580
256,96,236114,10,33480
256,96,236114,15,39308
256,96,236114,20,46887
256,96,236114,25,57220
